X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.272239212644592,45.0236737037037,0302924440058,72,LIC107149,BLBrewery,Approved,Off Sale,2019-04-23T07:50:43.000Z,2020,2020-04-01T00:00:00.000Z,56 BREWING,3055 COLUMBIA AVE,,1,Marshall Terrace,45.02367,-93.27224,-10383018.1743,5625249.1966,2019-04-24T18:16:16.000Z
0,0,,73,LIC107382,BLBrewery,Approved,Off Sale,2019-07-18T14:00:55.000Z,2020,2020-07-01T00:00:00.000Z,EASTLAKE,920 LAKE ST E #123,,,,0,0,0,0,2019-07-19T18:16:17.000Z
-93.276532245217723,44.985230006300164,2202924130136,74,LIC78426,BLDistill,Inactive,Off Sale,2016-01-07T00:00:00.000Z,2018,2018-01-01T00:00:00.000Z,MODIST BREWING CO.,505 3RD ST N," Distillery, Off-Sale Distilled Spirits",3,North Loop,44.98523,-93.27653,-10383496.0725,5619196.5526,2018-05-25T18:20:11.000Z
-93.223734360874957,44.994110083886405,1802923330036,75,LIC361920,BLDistill,Approved,Off Sale,2019-07-18T14:01:01.000Z,2020,2020-07-01T23:59:59.000Z,BROTHER JUSTUS,451 TAFT ST NE," Distillery, Off-Sale Distilled Spirits",1,Mid - City Industrial,44.99411,-93.22373,-10377618.6389,5620594.2871,2019-07-19T18:16:17.000Z
-93.27330022270813,44.972721035041943,2702924130278,76,LIC53924,BLLiqOff,Inactive,Off Sale,2016-10-04T00:00:00.000Z,2018,2018-10-01T00:00:00.000Z,HILTON MINNEAPOLIS,1001 MARQUETTE AVE,,7,Downtown West,44.97272,-93.2733,-10383136.2854,5617227.9933,2018-11-09T18:16:32.000Z
-93.221083124349363,44.998208790985672,1802923310008,77,LIC337805,BLBrewery,Inactive,Off Sale,2018-03-20T09:54:58.000Z,2018,2018-10-01T00:00:00.000Z,NORTHGATE BREWING,783 HARDING ST NE #100,,1,Mid - City Industrial,44.99821,-93.22108,-10377323.5046,5621239.5014,2018-05-25T18:20:11.000Z
-93.252058773585887,44.994307381930163,1402924440038,78,LIC351931,BLLiqOff,Approved,Off Sale,2017-05-17T14:58:03.000Z,2020,2020-04-01T23:59:00.000Z,GOPHER LIQUOR,335 MONROE ST NE,,3,St. Anthony East,44.99431,-93.25206,-10380771.6981,5620625.3445,2019-04-02T18:16:25.000Z
-93.223734360874957,44.994110083886405,1802923330036,79,LIC107243,BLDistill,Approved,Off Sale,2019-06-17T22:33:25.000Z,2020,2020-01-01T23:59:00.000Z,NORSEMAN DISTILLERY,451 TAFT ST NE,,1,Mid - City Industrial,44.99411,-93.22373,-10377618.6389,5620594.2871,2019-06-19T18:16:18.000Z
-93.223734360874957,44.994110083886405,1802923330036,80,LIC107276,BLDistill,Approved,Off Sale,2019-06-13T14:47:34.000Z,2020,2020-01-01T23:59:00.000Z,NORSEMAN DISTILLERY,451 TAFT ST NE," Distillery, Off-Sale Distilled Spirits",1,Mid - City Industrial,44.99411,-93.22373,-10377618.6389,5620594.2871,2019-06-14T18:16:18.000Z
-93.231047465652907,44.954870901790578,3602924410058,81,LIC107966,BLDistill,Approved,Off Sale,2019-06-20T15:54:42.000Z,2020,2020-01-01T23:59:00.000Z,Lawless Distilling Company,2619 28TH AVE S," Distillery, Off-Sale Distilled Spirits",2,Seward,44.95487,-93.23105,-10378432.73,5614419.6291,2019-06-21T18:16:16.000Z
